Id,Module,pc,Label
0,2,0.807489,CC200_ROI_001
1,1,0.789718,CC200_ROI_002
2,1,0.791208,CC200_ROI_003
3,4,0.824349,CC200_ROI_004
4,1,0.777164,CC200_ROI_005
5,5,0.834996,CC200_ROI_006
6,3,0.822804,CC200_ROI_007
7,5,0.835210,CC200_ROI_008
8,6,0.838846,CC200_ROI_009
9,6,0.838071,CC200_ROI_010
10,1,0.793275,CC200_ROI_011
11,3,0.814065,CC200_ROI_012
12,3,0.836302,CC200_ROI_013
13,1,0.800734,CC200_ROI_014
14,7,0.813639,CC200_ROI_015
15,2,0.834447,CC200_ROI_016
16,3,0.826430,CC200_ROI_017
17,7,0.839660,CC200_ROI_018
18,1,0.799579,CC200_ROI_019
19,4,0.826960,CC200_ROI_020
20,5,0.832919,CC200_ROI_021
21,1,0.786626,CC200_ROI_022
22,3,0.826398,CC200_ROI_023
23,4,0.816715,CC200_ROI_024
24,3,0.824845,CC200_ROI_025
25,2,0.816599,CC200_ROI_026
26,1,0.803602,CC200_ROI_027
27,5,0.830459,CC200_ROI_028
28,1,0.826421,CC200_ROI_029
29,6,0.834100,CC200_ROI_030
30,5,0.823752,CC200_ROI_031
31,1,0.757277,CC200_ROI_032
32,4,0.823742,CC200_ROI_033
33,3,0.827735,CC200_ROI_034
34,4,0.796689,CC200_ROI_035
35,6,0.838995,CC200_ROI_036
36,6,0.828814,CC200_ROI_037
37,3,0.819261,CC200_ROI_038
38,3,0.811181,CC200_ROI_039
39,1,0.821064,CC200_ROI_040
40,6,0.830882,CC200_ROI_041
41,3,0.807933,CC200_ROI_042
42,1,0.763489,CC200_ROI_043
43,2,0.814174,CC200_ROI_044
44,7,0.840769,CC200_ROI_045
45,1,0.798202,CC200_ROI_046
46,7,0.832867,CC200_ROI_047
47,6,0.824142,CC200_ROI_048
48,1,0.776388,CC200_ROI_049
49,5,0.835009,CC200_ROI_050
50,1,0.745163,CC200_ROI_051
51,6,0.809231,CC200_ROI_052
52,1,0.801656,CC200_ROI_053
53,2,0.803496,CC200_ROI_054
54,4,0.836254,CC200_ROI_055
55,3,0.819967,CC200_ROI_056
56,1,0.808293,CC200_ROI_057
57,1,0.792240,CC200_ROI_058
58,4,0.825448,CC200_ROI_059
59,5,0.832392,CC200_ROI_060
60,3,0.801203,CC200_ROI_061
61,1,0.808202,CC200_ROI_062
62,2,0.828021,CC200_ROI_063
63,5,0.831999,CC200_ROI_064
64,5,0.835137,CC200_ROI_065
65,4,0.816740,CC200_ROI_066
66,4,0.825786,CC200_ROI_067
67,6,0.836950,CC200_ROI_068
68,4,0.820690,CC200_ROI_069
69,2,0.811217,CC200_ROI_070
70,1,0.819145,CC200_ROI_071
71,1,0.750126,CC200_ROI_072
72,3,0.824576,CC200_ROI_073
73,1,0.776610,CC200_ROI_074
74,3,0.820557,CC200_ROI_075
75,5,0.835629,CC200_ROI_076
76,6,0.825607,CC200_ROI_077
77,1,0.735119,CC200_ROI_078
78,4,0.833826,CC200_ROI_079
79,6,0.828228,CC200_ROI_080
80,2,0.822831,CC200_ROI_081
81,1,0.738947,CC200_ROI_082
82,4,0.826345,CC200_ROI_083
83,7,0.834538,CC200_ROI_084
84,2,0.817883,CC200_ROI_085
85,6,0.743831,CC200_ROI_086
86,1,0.795456,CC200_ROI_087
87,4,0.819740,CC200_ROI_088
88,2,0.815510,CC200_ROI_089
89,5,0.830529,CC200_ROI_090
90,1,0.758016,CC200_ROI_091
91,1,0.807694,CC200_ROI_092
92,5,0.824698,CC200_ROI_093
93,7,0.831054,CC200_ROI_094
94,3,0.797218,CC200_ROI_095
95,5,0.831354,CC200_ROI_096
96,2,0.818116,CC200_ROI_097
97,4,0.824186,CC200_ROI_098
98,3,0.801388,CC200_ROI_099
99,2,0.827712,CC200_ROI_100
100,1,0.754863,CC200_ROI_101
101,2,0.789213,CC200_ROI_102
102,6,0.832478,CC200_ROI_103
103,1,0.777794,CC200_ROI_104
104,2,0.811859,CC200_ROI_105
105,1,0.816072,CC200_ROI_106
106,4,0.813985,CC200_ROI_107
107,2,0.810371,CC200_ROI_108
108,1,0.751665,CC200_ROI_109
109,1,0.803615,CC200_ROI_110
110,5,0.834779,CC200_ROI_111
111,1,0.789005,CC200_ROI_112
112,3,0.807779,CC200_ROI_113
113,3,0.819866,CC200_ROI_114
114,3,0.831261,CC200_ROI_115
115,4,0.817487,CC200_ROI_116
116,4,0.815168,CC200_ROI_117
117,6,0.838242,CC200_ROI_118
118,4,0.819792,CC200_ROI_119
