Id,Module,pc,Label
0,2,0.798872,CC200_ROI_001
1,1,0.777813,CC200_ROI_002
2,1,0.774970,CC200_ROI_003
3,4,0.817046,CC200_ROI_004
4,1,0.744605,CC200_ROI_005
5,5,0.831937,CC200_ROI_006
6,3,0.820383,CC200_ROI_007
7,5,0.828608,CC200_ROI_008
8,6,0.839186,CC200_ROI_009
9,6,0.834574,CC200_ROI_010
10,1,0.783507,CC200_ROI_011
11,3,0.810741,CC200_ROI_012
12,3,0.834146,CC200_ROI_013
13,1,0.795746,CC200_ROI_014
14,7,0.816258,CC200_ROI_015
15,2,0.832403,CC200_ROI_016
16,3,0.830604,CC200_ROI_017
17,7,0.839531,CC200_ROI_018
18,1,0.785647,CC200_ROI_019
19,4,0.822358,CC200_ROI_020
20,5,0.825851,CC200_ROI_021
21,1,0.761986,CC200_ROI_022
22,3,0.820289,CC200_ROI_023
23,4,0.802811,CC200_ROI_024
24,3,0.820189,CC200_ROI_025
25,2,0.802067,CC200_ROI_026
26,1,0.798343,CC200_ROI_027
27,5,0.824051,CC200_ROI_028
28,1,0.814937,CC200_ROI_029
29,6,0.831502,CC200_ROI_030
30,5,0.818533,CC200_ROI_031
31,1,0.743110,CC200_ROI_032
32,4,0.810210,CC200_ROI_033
33,3,0.827108,CC200_ROI_034
34,4,0.775085,CC200_ROI_035
35,6,0.838929,CC200_ROI_036
36,6,0.824046,CC200_ROI_037
37,3,0.817116,CC200_ROI_038
38,3,0.808095,CC200_ROI_039
39,1,0.808945,CC200_ROI_040
40,6,0.829845,CC200_ROI_041
41,3,0.805013,CC200_ROI_042
42,1,0.745257,CC200_ROI_043
43,2,0.813557,CC200_ROI_044
44,7,0.840652,CC200_ROI_045
45,1,0.775489,CC200_ROI_046
46,7,0.833928,CC200_ROI_047
47,6,0.820655,CC200_ROI_048
48,1,0.750926,CC200_ROI_049
49,5,0.833215,CC200_ROI_050
50,1,0.718029,CC200_ROI_051
51,6,0.811471,CC200_ROI_052
52,1,0.797713,CC200_ROI_053
53,2,0.800100,CC200_ROI_054
54,4,0.834469,CC200_ROI_055
55,3,0.814940,CC200_ROI_056
56,1,0.810973,CC200_ROI_057
57,1,0.763379,CC200_ROI_058
58,4,0.814294,CC200_ROI_059
